date,revenue,employment,avg_hours_worked,part_time_employment,wages,inventory,capex,input_prices,selling_prices,f_revenue,f_employment,f_avg_hours_worked,f_part_time_employment,f_wages,f_inventory,f_capex,f_input_prices,f_selling_prices
2020-08-01,29,9,13,3,29,-11,16,36,15,19,9,11,-1,26,0,9,35,24
2020-09-01,-21,8,2,0,17,-4,6,30,15,28,11,6,-5,29,6,0,38,16
2020-10-01,19,6,8,3,20,8,3,30,22,16,4,3,-3,23,1,-3,40,26
2020-11-01,16,6,0,1,11,-8,4,27,12,22,5,4,-3,20,4,4,31,19
2020-12-01,-8,5,-1,-1,15,-4,3,33,16,28,17,13,3,33,-11,9,45,31
2021-01-01,8,14,2,-1,19,-10,11,42,22,29,23,21,1,35,3,7,46,31
2021-02-01,7,9,-2,-2,23,-7,-3,39,12,23,22,18,2,44,1,8,51,25
2021-03-01,31,21,15,4,28,-4,11,55,25,37,19,15,1,42,8,14,64,35
2021-04-01,34,15,28,11,47,3,17,54,34,42,20,28,10,53,3,19,64,45
2021-05-01,31,15,18,4,36,3,25,63,39,41,27,25,9,55,6,26,68,55
2021-06-01,19,5,18,9,43,-3,15,70,41,46,30,29,5,61,15,22,70,53
2021-07-01,39,16,15,17,38,-1,16,47,38,40,37,27,9,62,12,26,70,67
2021-08-01,9,11,19,1,42,6,21,59,41,36,28,25,7,61,7,24,59,47
2021-09-01,15,14,10,10,39,-4,23,58,31,36,30,22,11,60,-4,25,57,46
2021-10-01,23,23,18,7,42,-6,26,68,45,37,28,27,6,61,-9,27,67,53
2021-11-01,14,18,26,11,51,-3,24,66,49,36,29,26,9,67,5,22,64,52
2021-12-01,24,19,19,11,36,-7,22,77,57,38,37,28,12,62,12,22,63,52
2022-01-01,17,14,18,8,45,10,16,74,46,49,33,27,10,73,14,30,71,53
2022-02-01,9,20,25,10,54,10,26,77,56,49,28,29,11,64,16,31,71,63
2022-03-01,28,23,27,11,52,18,25,75,54,43,39,24,6,65,13,22,70,59
2022-04-01,16,18,18,6,46,19,20,72,52,39,44,32,18,67,25,32,65,61
2022-05-01,22,21,19,12,45,1,16,72,47,31,24,6,2,62,11,20,74,55
2022-06-01,10,22,11,9,37,13,27,66,36,20,18,11,6,53,9,21,69,53
2022-07-01,3,1,17,2,34,12,16,64,33,24,14,10,0,54,15,14,65,52
2022-08-01,13,14,10,2,33,18,14,54,37,12,18,5,0,52,8,15,63,42
2022-09-01,22,13,16,-2,38,16,17,54,37,13,9,6,-10,51,12,20,66,60
2022-10-01,5,7,3,-6,22,19,8,51,21,13,13,6,-1,44,10,7,60,35
2022-11-01,11,9,2,-6,21,18,9,40,18,14,24,7,-1,51,13,13,55,41
2022-12-01,-1,-9,3,-8,31,18,7,34,7,8,-4,1,-7,52,8,8,60,23
2023-01-01,-22,-5,-2,0,23,8,12,38,8,-7,9,4,1,54,-5,13,56,32
2023-02-01,1,5,2,-4,33,-4,10,42,10,19,8,14,-1,58,4,17,60,36
2023-03-01,-5,-2,-6,-6,22,-3,13,34,6,6,-5,2,3,53,3,24,64,33
