date,revenue,f_revenue,employment,f_employment,part_time_employment,f_part_time_employment,avg_work_week,f_avg_work_week,wages,f_wages,input_prices,f_input_prices,selling_prices,f_selling_prices,capex,f_capex,inventory,f_inventory,outlook,f_outlook,biz_climate,f_biz_climate,uncertainty
2010-03-01,7.8,33.9,-10.4,9.7,-20.1,-3.4,-8.3,16.7,-0.7,17.8,22.0,32.2,5.5,31.7,,,4.4,11.0,0.0,17.8,2.6,16.9,
2010-04-01,15.1,47.2,-3.1,17.9,-5.6,1.8,4.4,4.8,-3.4,24.2,16.8,35.1,12.3,27.6,,,-1.3,22.7,28.1,36.9,19.8,39.4,
2010-05-01,8.4,43.7,10.2,18.7,-2.4,7.4,9.0,11.8,5.5,23.1,18.4,28.6,14.0,27.5,,,15.3,23.3,14.4,33.0,14.5,28.9,
2010-06-01,31.3,33.1,5.1,15.8,2.7,-2.2,9.2,2.8,5.3,23.1,24.2,35.3,27.3,33.8,,,9.8,13.0,22.6,35.9,18.8,25.0,
2010-07-01,-4.2,40.6,7.6,12.3,-11.3,0.0,-1.8,-0.6,2.3,15.8,1.3,17.2,-8.9,10.9,,,-2.4,15.5,-2.0,13.4,-8.0,8.5,
2010-08-01,-10.7,35.3,-3.2,8.8,-14.2,-5.7,-8.4,5.8,2.4,21.9,18.4,26.6,8.5,26.6,,,-6.3,7.0,-2.7,20.9,-7.9,12.7,
2010-09-01,-6.5,33.0,-0.4,9.2,-3.5,-2.4,-1.7,7.5,3.2,20.2,18.4,28.3,8.5,20.6,,,-4.2,11.5,1.4,16.0,0.6,15.2,
2010-10-01,18.8,39.8,1.9,19.8,-5.3,-1.0,-3.0,7.5,9.6,22.1,31.0,33.3,12.3,20.7,,,7.9,17.5,8.2,27.6,6.5,22.5,
2010-11-01,11.5,51.9,6.8,34.6,-6.7,8.8,6.1,9.6,5.8,22.3,23.0,36.6,7.0,28.8,,,6.1,23.0,12.5,33.2,9.9,29.4,
2010-12-01,11.3,55.4,8.1,31.7,-2.3,3.8,6.8,8.4,7.9,26.7,27.1,36.5,16.5,28.6,,,6.6,27.2,15.6,40.0,15.9,34.6,
2011-01-01,-3.1,54.3,6.6,29.0,-6.8,4.5,-2.5,16.5,4.2,27.9,42.6,67.8,26.4,56.3,,,12.2,24.1,11.5,45.2,4.4,37.9,
2011-02-01,-15.5,52.3,1.6,23.1,-4.6,0.5,-14.4,13.1,-1.3,32.4,37.3,46.7,25.1,43.4,,,2.3,25.6,10.9,38.0,-0.7,32.8,
2011-03-01,24.2,52.1,16.6,24.3,6.7,3.5,8.1,17.0,8.9,35.8,43.0,44.8,28.0,39.7,,,23.9,27.6,22.5,28.3,16.1,29.4,
2011-04-01,19.4,45.8,14.7,22.3,2.3,9.4,6.9,4.2,11.3,29.8,54.9,49.2,33.3,46.2,18.2,27.6,24.8,24.7,9.3,30.2,5.8,24.6,
2011-05-01,1.1,42.3,7.3,14.5,-5.4,-0.9,4.3,7.2,16.3,36.0,28.4,37.4,20.6,30.3,13.8,20.0,9.7,6.4,7.8,19.2,-1.4,13.8,
2011-06-01,16.7,36.2,10.3,13.0,-1.3,-7.2,1.2,1.6,10.9,27.8,37.8,48.4,25.7,33.4,13.4,12.5,0.4,4.9,4.1,25.8,1.8,17.9,
2011-07-01,9.3,29.2,-4.7,7.6,2.0,-4.9,-1.9,2.5,10.2,28.9,37.1,42.2,24.9,34.9,7.5,14.3,8.0,2.0,-2.5,10.8,-15.1,6.9,
2011-08-01,7.5,24.5,11.3,1.6,-6.1,-1.3,0.5,11.3,9.3,21.4,30.9,36.1,20.4,26.2,-0.3,14.7,5.0,6.0,0.0,4.6,-10.5,-5.3,
2011-09-01,15.2,21.1,2.5,12.2,-0.8,-12.8,-4.0,1.5,9.6,12.8,33.5,38.7,11.9,25.8,3.0,3.3,5.0,0.0,10.3,11.4,-16.8,-11.4,
2011-10-01,12.7,41.9,17.5,17.3,-2.3,15.0,3.1,1.1,16.0,21.0,25.9,39.6,20.5,34.9,17.0,25.4,13.0,11.1,16.1,23.5,-1.7,6.9,
2011-11-01,12.7,42.8,6.6,16.9,-4.9,5.6,12.0,7.7,16.1,34.2,30.1,46.2,26.0,41.0,13.3,25.0,19.4,15.0,10.7,24.9,2.0,20.8,
2011-12-01,7.5,58.2,3.8,24.8,0.8,5.7,0.9,10.4,9.8,22.7,20.8,46.0,13.5,41.2,5.0,25.4,14.8,18.9,21.3,41.3,17.0,30.0,
2012-01-01,12.7,59.9,6.4,32.7,1.3,6.0,0.7,11.6,5.6,26.9,28.4,48.5,23.7,47.0,19.1,32.3,2.9,24.7,21.7,43.7,16.5,30.6,
2012-02-01,25.0,43.4,7.9,29.7,5.1,6.2,8.5,12.9,10.9,29.1,25.5,46.6,14.8,40.0,13.1,38.4,19.6,17.6,28.8,37.5,34.0,30.4,
2012-03-01,19.2,41.1,14.5,21.5,2.8,6.0,7.7,1.9,9.2,33.2,37.2,48.5,26.1,41.2,18.3,35.8,12.0,8.2,27.8,37.2,17.2,30.8,
2012-04-01,9.4,45.0,12.2,22.5,4.1,8.8,5.6,0.0,7.3,27.1,18.7,40.3,4.2,33.9,9.4,38.7,10.9,9.4,14.2,26.8,11.2,26.9,
2012-05-01,13.0,49.7,14.4,31.7,10.6,11.0,6.1,11.6,13.2,24.5,17.8,30.5,9.6,32.2,8.5,25.9,5.6,21.6,12.1,20.0,6.8,13.4,
2012-06-01,11.3,30.1,15.3,18.2,1.9,5.9,-8.2,11.2,4.9,25.6,8.0,29.0,6.5,27.4,16.9,16.4,8.5,16.4,-2.1,18.0,-3.0,7.8,
2012-07-01,-5.0,41.1,13.1,14.9,3.8,11.9,1.3,7.4,6.0,29.3,8.0,33.9,-1.3,23.7,12.5,11.8,11.5,18.8,-12.5,16.4,-16.0,1.8,
2012-08-01,14.0,40.4,4.4,20.6,3.6,7.0,-1.0,10.9,8.5,32.3,31.6,28.6,20.4,30.2,10.2,15.9,6.5,18.6,7.6,17.5,8.8,13.4,
2012-09-01,16.5,48.7,9.9,29.7,-0.8,5.8,4.0,9.6,7.9,29.5,13.9,41.0,17.8,46.8,13.6,19.7,18.6,19.6,14.9,27.7,7.7,19.5,
2012-10-01,10.5,38.3,3.2,23.0,-3.6,-2.6,0.0,5.8,7.6,34.2,18.3,40.0,3.1,32.3,12.6,8.1,16.2,20.4,3.6,21.7,0.6,19.7,
2012-11-01,0.9,36.4,5.0,20.4,2.9,-2.5,-1.4,11.0,8.5,28.3,25.2,52.3,16.9,38.5,-0.3,13.8,8.7,13.4,-4.2,7.7,-5.6,6.6,
2012-12-01,0.0,41.3,2.3,25.1,-0.8,5.8,0.9,9.1,11.7,32.9,31.0,51.7,21.7,48.4,5.2,23.0,7.4,11.8,1.6,28.4,3.7,25.6,
2013-01-01,17.0,44.9,1.9,22.7,3.0,14.0,3.8,9.7,14.3,31.8,29.9,44.1,12.5,44.2,8.5,26.9,28.5,13.7,11.9,13.9,3.9,14.0,
2013-02-01,21.0,41.7,21.0,27.7,8.1,8.6,8.0,8.7,6.1,35.4,22.9,43.7,20.1,34.3,13.6,26.1,14.6,8.8,29.4,26.0,15.0,20.6,
2013-03-01,8.4,48.6,9.5,24.2,8.9,8.2,1.8,8.7,12.7,34.6,15.2,33.9,8.8,37.5,21.4,14.6,12.1,27.7,14.2,26.8,13.0,30.2,
2013-04-01,-7.2,31.2,3.1,21.6,-7.0,8.9,-3.2,-1.8,4.2,26.2,15.0,31.1,7.4,21.3,-1.2,6.7,7.8,11.3,-0.6,9.3,-1.3,12.9,
2013-05-01,18.0,29.1,6.9,13.2,-2.4,2.1,-0.3,0.9,8.5,25.3,18.4,31.9,9.4,30.3,4.6,9.1,6.5,14.2,12.0,23.2,10.7,25.5,
2013-06-01,-1.2,35.9,5.0,16.7,-4.8,-2.5,-6.9,12.5,18.1,32.1,14.1,41.1,5.6,30.4,-0.5,1.8,3.9,21.5,4.6,17.5,10.8,17.7,
2013-07-01,17.7,47.9,15.1,21.7,2.1,4.9,-3.5,7.5,23.6,35.1,20.7,34.5,22.9,30.5,9.4,15.8,3.3,19.4,23.2,36.7,24.2,33.0,
2013-08-01,25.4,58.6,9.8,31.2,4.1,14.9,5.4,16.9,17.3,43.0,23.3,38.0,15.7,39.7,8.2,24.1,14.8,25.4,31.2,37.6,26.0,39.2,
2013-09-01,12.1,47.1,4.3,24.7,-1.0,10.7,5.7,16.0,8.8,33.1,19.2,34.5,4.4,38.2,-1.8,21.9,7.5,27.7,12.5,30.7,25.9,33.3,
2013-10-01,9.1,43.4,6.0,24.4,-4.6,15.0,-2.2,6.4,5.9,28.1,21.4,34.7,17.4,34.7,-3.9,19.6,2.9,23.8,10.8,26.4,16.0,25.9,
2013-11-01,20.0,53.6,7.8,21.2,1.4,7.3,-6.9,5.7,5.0,36.3,15.7,27.5,1.5,36.0,14.5,21.6,7.0,24.6,14.1,30.5,12.5,28.9,
2013-12-01,10.6,49.1,9.5,28.7,8.9,8.4,0.9,10.2,18.0,38.4,19.6,40.7,23.0,38.9,19.6,27.8,18.8,15.2,24.3,32.6,15.7,22.2,
2014-01-01,23.0,55.5,15.5,25.1,9.6,9.3,2.1,9.2,18.5,34.8,21.8,32.7,21.2,42.5,11.0,29.1,12.7,22.2,21.5,36.3,20.1,30.2,
2014-02-01,10.1,49.0,15.6,36.8,5.4,19.8,2.5,16.2,18.6,41.1,20.8,49.1,11.2,45.5,7.4,36.4,5.9,23.2,16.1,35.3,18.9,30.1,
2014-03-01,16.7,37.1,16.1,23.7,9.1,9.4,1.9,17.4,14.5,32.2,25.3,39.3,17.2,38.2,11.2,19.7,24.5,18.2,17.6,31.4,23.2,34.8,
2014-04-01,18.7,38.0,16.8,15.3,4.9,14.1,13.8,9.8,23.0,39.6,14.0,40.7,6.2,43.4,13.1,22.2,20.8,20.8,14.3,26.5,16.7,28.0,
2014-05-01,23.2,43.0,10.0,13.6,1.7,14.3,-1.8,14.0,12.4,36.0,26.3,34.1,18.6,34.8,14.5,24.0,22.9,17.9,14.9,30.9,14.4,28.8,
2014-06-01,20.3,41.0,21.1,25.1,-1.2,5.3,9.3,3.9,14.9,37.9,11.1,37.7,14.5,39.6,4.9,24.6,12.9,24.9,32.0,37.7,33.3,33.4,
2014-07-01,26.4,49.4,1.6,23.3,-1.5,14.9,1.5,11.4,24.4,41.0,23.1,38.9,20.1,35.1,13.8,29.6,19.3,33.3,29.2,42.4,23.0,34.9,
2014-08-01,21.0,57.2,15.8,22.6,11.7,17.9,3.5,9.6,22.7,35.4,20.9,35.5,13.7,33.8,10.9,26.2,14.6,27.1,22.0,29.8,24.5,34.1,
2014-09-01,33.5,53.6,11.2,22.3,0.8,5.2,4.0,3.2,21.1,50.8,17.5,40.4,16.8,46.1,20.9,32.0,19.9,23.6,27.0,34.4,19.0,33.9,
2014-10-01,15.2,57.1,2.1,23.8,2.8,9.4,-1.8,9.5,10.4,38.0,12.3,31.6,11.3,38.6,6.6,25.0,12.3,20.2,25.5,34.3,25.3,32.5,
2014-11-01,13.7,56.7,10.7,35.1,-0.5,4.9,-0.9,8.8,13.5,35.5,20.1,35.8,14.0,39.3,9.9,35.8,13.4,22.5,22.6,42.6,20.0,41.2,
2014-12-01,18.6,36.6,11.0,9.9,1.1,6.0,2.7,-2.7,15.8,36.9,3.6,28.6,5.6,28.6,13.9,16.0,19.5,18.2,7.0,24.8,14.7,17.5,
2015-01-01,10.7,22.7,-2.2,14.2,4.1,3.9,2.0,0.3,11.9,36.6,1.4,22.0,0.9,30.7,5.9,22.0,1.7,-1.2,-3.8,12.9,-2.8,12.4,
2015-02-01,10.4,27.6,-0.2,0.8,3.8,1.3,-0.9,-7.8,5.0,19.8,9.2,28.8,1.1,21.5,2.4,19.2,6.0,9.6,2.3,14.2,-2.3,2.8,
2015-03-01,-8.0,21.7,-5.6,7.9,-3.6,0.3,-13.4,-9.4,8.1,23.2,3.6,30.9,0.6,30.3,2.7,20.0,-3.0,23.9,-12.7,4.8,-20.2,-2.3,
2015-04-01,21.8,32.0,0.2,15.0,6.4,-3.4,6.8,2.1,13.8,35.3,2.8,30.9,5.8,34.5,11.0,21.8,14.7,12.5,10.4,11.3,1.3,13.6,
2015-05-01,-8.1,31.2,-0.1,17.4,-0.6,4.5,-3.5,-0.9,11.0,26.6,5.6,16.7,9.1,23.7,12.8,20.0,16.9,21.0,8.2,25.6,5.9,16.8,
2015-06-01,18.9,41.8,1.5,18.1,0.4,1.1,-1.8,0.0,12.1,29.7,18.5,33.9,5.3,33.4,14.8,19.3,7.1,18.6,7.9,12.1,-6.9,3.1,
2015-07-01,16.7,35.2,8.6,13.6,0.4,-8.0,6.6,4.0,8.0,26.6,13.4,23.2,7.3,28.3,8.2,14.3,6.7,11.1,12.3,22.6,8.5,25.6,
2015-08-01,-5.4,32.1,-5.3,7.3,4.4,-5.3,-4.6,3.2,4.7,34.6,-1.6,25.5,-4.7,23.6,5.2,21.8,5.0,14.1,3.3,24.9,-0.9,21.6,
2015-09-01,4.8,31.4,-0.9,17.2,-5.1,3.3,-1.8,1.2,13.1,35.6,-0.3,32.0,8.2,36.0,9.3,24.5,-4.8,20.0,-5.8,17.3,-8.9,11.1,
2015-10-01,9.2,38.9,8.1,9.3,9.5,0.2,9.1,-7.0,17.2,23.6,9.8,35.3,8.4,32.0,14.1,22.0,5.2,20.3,13.2,30.5,4.5,15.3,
2015-11-01,3.4,39.2,0.3,21.3,-2.3,12.0,-4.1,5.2,3.0,30.3,14.7,41.0,2.1,36.3,8.1,23.2,-0.4,27.8,-2.4,20.8,-9.1,8.7,
2015-12-01,10.8,33.8,-1.2,8.4,3.0,4.3,4.6,8.1,9.5,30.4,3.7,24.0,0.1,23.6,0.4,7.2,-2.3,4.0,-3.5,2.9,-10.2,2.6,
2016-01-01,12.6,28.3,5.4,10.2,8.1,3.9,5.8,-1.6,17.6,24.3,-6.7,20.9,-13.4,22.9,6.1,8.3,-17.0,7.1,6.4,13.2,-7.3,-9.7,
2016-02-01,-1.8,27.3,3.3,2.1,1.8,0.9,2.5,-2.1,15.0,21.0,1.7,17.6,-9.3,19.0,5.5,12.1,-1.1,-5.8,-3.1,-5.0,-28.7,-21.1,
2016-03-01,-3.9,36.0,-3.9,11.6,-5.5,2.1,-8.3,1.4,10.0,27.8,5.8,27.2,4.7,26.5,4.5,7.4,-6.5,10.7,8.8,12.5,1.3,9.5,
2016-04-01,9.1,44.3,-3.5,6.6,-0.7,0.5,-2.2,-1.3,9.8,24.5,17.2,36.0,13.1,34.7,4.7,12.0,9.2,5.9,4.8,21.2,-11.2,9.6,
2016-05-01,1.3,27.7,1.9,8.7,-2.4,-1.5,-9.3,-1.0,8.2,26.5,19.5,35.3,6.4,31.4,14.2,20.0,2.9,4.8,1.1,9.5,-12.6,-1.9,
2016-06-01,8.2,20.5,-2.1,4.6,-3.0,1.3,-1.8,-1.9,8.3,27.6,16.1,29.4,15.6,29.4,-0.7,7.8,0.4,-0.3,3.3,13.5,-12.4,-6.9,
2016-07-01,8.9,30.4,3.7,8.8,6.3,-1.0,5.4,4.0,11.0,26.4,17.4,32.6,14.3,35.4,1.3,14.3,-14.2,7.8,13.6,18.6,2.9,15.5,
2016-08-01,-7.5,5.5,4.1,8.0,0.8,-1.6,-3.0,-16.2,7.1,22.1,15.7,25.5,8.6,24.5,2.2,7.9,-0.8,1.1,-11.9,6.2,-14.7,-1.6,
2016-09-01,-1.9,23.0,1.0,3.0,0.8,-8.5,-1.4,-7.8,9.0,23.1,16.3,27.3,0.7,25.5,6.9,-5.3,-9.9,0.0,0.3,6.9,0.9,8.9,
2016-10-01,-8.5,17.8,-1.1,8.6,1.0,-3.2,-13.4,-2.6,2.0,28.0,9.0,22.8,4.5,19.3,6.5,8.8,4.1,-3.9,-9.9,-4.9,-11.2,3.5,
2016-11-01,11.6,40.0,2.1,8.5,-0.2,4.4,-3.5,6.6,17.0,40.6,15.8,31.2,8.5,41.6,2.8,27.9,3.0,7.8,9.4,27.7,3.3,21.8,
2016-12-01,17.1,49.4,8.6,25.1,-2.4,12.3,2.5,12.2,16.4,39.3,26.6,50.0,10.3,44.3,11.3,24.6,1.0,12.2,20.5,41.7,16.0,42.1,
2017-01-01,9.1,47.4,-3.6,15.9,2.4,9.3,0.3,7.4,24.1,33.0,15.2,41.8,16.7,41.8,11.1,25.4,11.1,13.1,16.2,30.9,20.9,40.7,
2017-02-01,8.4,44.6,-5.2,21.5,6.9,15.0,0.8,5.0,18.3,34.9,29.6,42.1,24.2,35.7,5.7,23.6,16.2,19.1,12.6,29.5,8.0,29.9,
2017-03-01,10.1,26.5,4.3,7.1,8.4,1.8,-1.6,-0.6,9.3,23.9,13.2,35.6,-4.6,20.7,9.1,18.9,12.0,11.5,-1.0,11.4,3.2,7.9,
2017-04-01,16.7,32.9,1.7,5.5,7.7,0.3,1.4,3.7,7.9,29.9,23.3,32.8,0.0,13.8,10.2,14.3,10.1,13.9,9.4,15.4,2.6,8.5,
2017-05-01,14.7,30.3,-1.8,-2.5,7.4,2.2,-0.2,-5.7,9.8,27.6,17.9,36.1,9.6,29.5,10.1,9.8,7.3,11.9,2.1,11.3,-3.0,4.9,
2017-06-01,7.3,34.5,11.7,20.2,7.4,-0.7,-1.8,0.0,14.0,30.3,10.6,35.1,3.7,36.9,6.5,12.3,12.5,12.6,13.0,22.9,7.2,17.8,
2017-07-01,3.0,26.9,1.7,6.6,7.9,-2.7,5.2,-5.6,18.0,30.3,14.8,28.3,14.1,26.4,10.5,15.1,3.4,9.2,1.8,9.9,4.9,12.9,
2017-08-01,16.1,34.1,-0.1,17.7,0.6,-1.3,12.1,3.2,12.8,32.7,26.9,43.9,19.4,36.2,18.5,22.8,23.5,15.8,10.1,17.0,9.4,12.2,
2017-09-01,31.3,31.8,0.9,12.3,-2.4,4.1,5.6,1.5,19.6,34.9,25.6,42.6,18.8,40.0,17.7,26.2,3.5,14.7,21.6,30.2,15.9,30.4,
2017-10-01,17.5,46.5,9.2,21.0,3.0,11.3,6.7,7.9,16.2,37.9,32.5,36.4,25.8,33.9,24.8,29.1,6.4,12.1,17.4,25.8,22.3,26.8,
2017-11-01,31.4,33.0,2.1,17.7,8.5,8.2,4.4,7.2,13.5,28.4,29.0,33.9,28.3,35.7,13.5,17.8,3.2,15.4,22.6,26.1,23.2,21.8,
2017-12-01,25.4,41.0,12.9,19.1,11.5,9.3,14.9,11.7,12.4,40.2,29.9,47.3,29.2,43.6,17.7,40.0,3.0,17.9,23.4,33.9,22.0,33.1,
2018-01-01,-1.4,35.5,1.6,16.2,-1.1,13.3,0.3,7.3,15.6,40.0,36.0,46.3,24.2,42.5,9.3,28.3,5.8,6.0,12.6,25.9,17.3,28.4,-9.4
2018-02-01,-8.7,27.7,11.4,9.0,3.8,-2.6,5.0,6.2,18.8,30.5,38.2,38.0,33.3,28.0,10.5,26.0,0.3,12.2,0.7,3.1,3.7,5.0,12.7
2018-03-01,15.6,35.8,17.8,19.8,2.2,0.5,9.7,4.3,22.9,43.5,34.2,37.5,30.9,43.7,16.9,31.3,13.2,19.3,6.5,17.4,2.3,13.2,8.3
2018-04-01,-4.5,36.6,8.2,20.2,-0.7,4.7,-0.3,9.0,9.9,41.6,32.1,39.2,24.4,31.4,14.8,21.6,14.7,7.7,0.7,5.1,-1.6,11.1,6.0
2018-05-01,38.4,42.3,9.2,18.7,4.2,2.9,4.8,5.6,24.3,38.2,34.0,35.5,25.7,37.2,11.8,15.6,-5.3,1.1,14.7,24.7,16.1,20.3,-4.8
2018-06-01,0.8,41.8,11.7,24.0,5.3,10.0,10.4,8.3,30.9,48.3,40.9,47.9,26.5,45.8,13.3,20.8,14.4,8.5,5.5,13.9,12.0,21.0,6.1
2018-07-01,6.8,19.7,3.5,14.3,0.4,1.1,-0.3,2.1,23.5,42.5,31.3,37.8,17.2,26.4,12.3,15.1,16.5,3.6,3.7,8.0,10.5,16.8,9.4
